categories                                     ;code                                      ;description
Equipment & Magic, Weapons, Hammers            ;Curved Club                               ;Hard, curved club, shaped like a crescent moon. Wielded instead of a curved sword by Albinaurics lacking dexterity. The only point of similarity between the two is the shape.
Equipment & Magic, Weapons, Hammers            ;Spiked Club                               ;A club with beast fangs wrapped around the striking end. The uneven spread of fangs causes blood loss. Given only to the toughest of demi-humans, this weapon is a badge of honor. Or so the demi-humans believe.
Equipment & Magic, Weapons, Hammers            ;Stone Club                                ;Signature weapon of battlemages, hewn from hard glintstone.  So that they not lose sight of the true essence of combat, battlemages prefer to feel the impact of their blows, fighting their opponents hand to hand.
Equipment & Magic, Weapons, Hammers            ;Mace                                      ;An iron bludgeon with sharp protrusions. Striking attacks have few drawbacks, potent as they are at breaking through guards and stances, Most suited to head on slugging matches.
Equipment & Magic, Weapons, Hammers            ;Morning Star                              ;Warhammer comprised of a globe attached to a handle. Though a bludgeon dealing strike damage, the appellative star covered. in spikes which cause blood loss.
Equipment & Magic, Weapons, Hammers            ;Warpick                                   ;Great hammer with a hard protruding beak. A pickaxe designed for combat, in essence. A simple but highly effective weapon, the weighty piercing attack casually rips through metal armor.
Equipment & Magic, Weapons, Hammers            ;Hammer                                    ;Hammer comprised of a large stone affixed to a metal handle. The art of smithing is said to have originated among the giants.
Equipment & Magic, Weapons, Hammers            ;Monk's Flamemace                          ;Great hammer made to resemble flickering flames. Signature weapon of the Fire Monks, who hail from the Mountaintops of the Giants.  The unique strong attack rouses fiery combative spirit.
Equipment & Magic, Weapons, Hammers            ;Varre's Bouquet                           ;A steel mace resembling a charming bouquet of roses. Each petal has a sharpened edge, leaving the roses perpetually colored with blood. This weapon reflects White Mask Varré's manner of speech rather well, enticing in its splendor, but full of deadly consequence.
Equipment & Magic, Weapons, Hammers            ;Envoy's Horn                              ;Golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt. Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call.
Equipment & Magic, Weapons, Hammers            ;Nox Flowing Hammer                        ;Mace shaped like a suspended metal droplet wielded by monks of the Eternal City. Forged from liquid metal from a Silver Tear, it is thoroughly tempered until hardened.
Equipment & Magic, Weapons, Hammers            ;Ringed Finger                             ;Bludgeon made of an enormous finger sheathed in several heavy rings. Thought to have been cut from an ancestor of the Fingercreeper. Some life yet remains in this legacy of an ancient act of blasphemy, as evidenced by the barely perceptible warmth it still exudes.
Equipment & Magic, Weapons, Hammers            ;Scepter of the All-Knowing                ;Scepter in the form of a hand grasping a pearl. Signature weapon
Equipment & Magic, Weapons, Hammers            ;Marika's Hammer                           ;Stone hammer made in the lands of the Numen, outside the Lands Between. The tool with which Queen Marika shattered the Elden Ring and Radagon attempted to repair it. The hammer partially broke upon shattering the Ring, becoming splintered with rune fragments.
Equipment & Magic, Weapons, Flails             ;Flail                                     ;Weapon consisting of a bludgeoning head attached to a handle by chain. The iron ball is spiked and induces blood loss.
Equipment & Magic, Weapons, Flails             ;Nightrider Flail                          ;A flail with two additional bludgeoning heads.   The large spikes make it highly effective at inducing blood loss, but also demand higher dexterity to wield.
Equipment & Magic, Weapons, Flails             ;Chainlink Flail                           ;A spiked iron tube attached by a chain wielded by Mad Pumpkin Heads. Especially large for a flail, wielding it requires more strength than it does dexterity.
Equipment & Magic, Weapons, Flails             ;Family Heads                              ;Three bludgeoning copper heads attached to a handle by chains. Signature weapon of Necromancer Garris, the heretical sage.
Equipment & Magic, Weapons, Flails             ;Bastard's Stars                           ;Flail which deals magic damage, having been imbued with power Formed of the same many-colored star debris that comprised the
Equipment & Magic, Weapons, Great Hammers      ;Large Club                                ;A thick, solid lump of wood. Wielding this striking weapon requires no skill. A simple, primitive weapon that requires only brute strength to swing about.
Equipment & Magic, Weapons, Great Hammers      ;Curved Great Club                         ;Large curved club of hard wood, shaped like a crescent moon. Wielded by Albinaurics lacking the dexterity demanded by a curved sword, and who prefer the added weight and destructive force.
Equipment & Magic, Weapons, Great Hammers      ;Great Mace                                ;Huge bludgeon with sharp protrusions. An enlarged version of its smaller cousin. Maintains all the advantages of smaller bludgeons, boasting few deficiencies while being very capable at breaking enemy guards and stances. A shrewd choice for simple slugging matches.
Equipment & Magic, Weapons, Great Hammers      ;Pickaxe                                   ;"Large pickaxe designed to crack thick bedrock. Tool of sturdy miners. Not originally designed as a weapon, but very adept at piercing armor. ""Little wretches, do you think your armor harder than stone?"" "
Equipment & Magic, Weapons, Great Hammers      ;Brick Hammer                              ;Weapon made from an ordinary stone brick. Wielded by a laborer who lead a rebellion, and later become a champion himself. Even among other bludgeons of its size, this weapon is especially weighty. The strength of a giant is required to wield it.
Equipment & Magic, Weapons, Great Hammers      ;Battle Hammer                             ;Large iron great hammer designed for gladiatorial combat. Used by duelists who were exiled from the colosseum. Weighty enough to crush armor and its wearer alike.
